(Prefix (1092,1),(208,1)	
monotonic-queue (1438,1),(1687,1),(2071,1)	
monotonic-stack (1008,1),(1019,1),(2030,1),(2104,1),(975,1)	
n (1357,1),(1492,1)	
n) (50,1)	
number-theory (1819,1),(2001,1),(2470,1),(2584,1),(2427,1),(2607,1),(2614,1),(2654,1),(858,1)	
of (2236,1),(1161,1),(1404,1),(2416,2),(1705,1),(1862,1),(2012,1),(1415,2),(1679,1),(1503,1),(2405,1),(2508,1),(2537,1),(1154,1),(1239,1),(2269,1),(2364,1),(2438,1),(1697,1),(1880,1),(2492,1),(2618,1),(1419,1),(238,1),(2155,1),(2243,1),(2320,1),(1356,1),(1888,1),(2207,1),(876,1),(1855,1),(1976,1),(2496,1),(289,1),(1334,1),(2001,2),(2056,1),(2063,1),(2658,1),(762,1),(1569,1),(1819,1),(920,1),(1749,1),(1936,1),(1987,1),(2023,2),(2104,1),(2478,1),(2654,1),(1521,1),(1639,1),(2386,1),(869,1),(1190,1),(1837,1),(1671,1),(1525,1),(201,1),(726,1),(1022,1),(1363,1),(2328,1),(586,1),(2342,2),(2449,1),(601,1),(1301,1),(1994,1),(1815,1),(2081,1),(2672,1),(1606,1),(1781,2),(1910,1),(1921,1),(1969,1),(2588,1),(1444,2),(1866,1),(421,1),(447,1),(795,1),(2427,1),(2470,1),(2030,1),(1558,1),(1961,1),(315,1),(1480,1),(1499,1),(1297,2),(1411,1),(2218,1),(2144,1),(2335,1),(2595,1),(689,1),(898,1),(1808,1),(2265,1),(58,1),(883,1),(1455,1),(1822,2),(1929,1),(1998,1),(2250,1),(2452,1),(1561,1),(160,1),(326,1),(1352,1),(2009,1),(2221,1)	
on (1275,1),(2151,1),(2430,1)	
or (2225,1),(2661,1)	
ordered-set (2424,1),(493,1),(497,1),(732,1),(2035,1),(2251,1),(699,1),(729,1),(1438,1),(2659,1)	
prefix-sum (2145,1),(523,1),(2017,1),(1878,1),(1915,1),(2615,1),(1423,1),(2420,1),(2398,1),(2406,1),(303,1),(798,1),(1658,1),(2222,1),(2428,1),(2574,1),(2640,1),(813,1),(1856,1),(1371,1),(1838,1),(2024,1),(1177,1),(1687,1),(1991,1),(2251,1),(1074,1),(1889,1),(2439,1),(2552,1),(497,1),(930,1),(974,1),(1588,1)	
probability-and-statistics (1093,1),(470,1)	
queue (1352,1),(1499,1),(2526,1),(641,1),(649,1)	
quickselect (1738,1)	
radix-sort (164,1)	
randomized (528,1),(380,1),(384,1)	
recursion (1823,1),(1922,1),(2,1),(273,1),(390,1),(394,1),(509,1),(761,1),(233,1),(44,1),(486,1),(736,1)	
reservoir-sampling (382,1),(519,1)	
rolling-hash (1960,1),(1461,1),(187,1)	
segment-tree (307,1),(493,1),(673,1),(699,1),(1687,1),(2424,1),(2659,1),(406,1),(729,1),(732,1)	
shell (194,1)	
shortest-path (2642,1)	
simulation (1103,1),(1275,1),(1389,1),(1701,1),(2180,1),(2221,1),(2243,1),(289,1),(1260,1),(1503,1),(1583,1),(1914,1),(2177,1),(43,1),(1518,1),(2056,1),(1646,1),(2357,1),(2562,1),(498,1),(54,1),(832,1),(946,1)	
sliding-window (1004,1),(1763,1),(2269,1),(2302,1),(1297,1),(1499,1),(209,1),(3,1),(395,1),(76,1),(1044,1),(1888,1),(2379,1),(2537,1),(2555,1),(1477,1),(2401,1)	
sorting (2389,1),(594,1),(767,1),(899,1),(1296,1),(1630,1),(2587,1),(268,1),(1498,1),(2099,1),(2602,1),(349,1),(826,1),(888,1),(1913,1),(2008,1),(147,1),(217,1),(1333,1),(1337,1),(2033,1),(2136,1),(2165,1),(1751,1),(1818,1),(378,1),(833,1),(1502,1),(2554,1),(1300,1),(1403,1),(792,1),(2242,1),(2503,1),(455,1),(462,1),(532,1),(628,1),(891,1),(954,1),(1340,1),(2271,1),(976,1),(2363,1),(2576,1),(451,1),(910,1),(1054,1),(1418,1),(2231,1),(1366,1),(1887,1),(2448,1),(1311,1),(1348,1),(1847,1),(75,1),(2037,1),(2279,1),(1465,1),(169,1),(220,1),(2491,1),(1029,1),(1090,1),(2154,1),(242,1),(389,1),(561,1),(646,1),(950,1),(1094,1),(1968,1),(969,1)	
stack (1124,1),(20,1),(341,1),(42,1),(1021,1),(150,1),(844,1),(1249,1),(316,1),(503,1),(880,1),(895,1),(1106,1),(1700,1),(590,1),(682,1),(71,1),(1003,1),(224,1),(2334,1),(114,1),(1209,1),(1472,1),(2617,1),(2019,1),(770,1),(936,1),(1047,1),(143,1),(385,1),(907,1),(921,1)	
string (1358,1),(2418,1),(423,1),(467,1),(474,1),(481,1),(771,1),(166,1),(1079,1),(126,1),(2135,1),(2564,1),(38,1),(412,1),(140,1),(1541,1),(1941,1),(2193,1),(2223,1),(537,1),(1208,1),(2296,1),(984,1),(2157,1),(2609,1),(1307,1),(1897,1),(2124,1),(2278,1),(2490,1),(2586,1),(500,1),(955,1),(1002,1),(1592,1),(1769,1),(1930,1),(2311,1),(5,1),(591,1),(151,1),(1963,1),(1974,1),(2315,1),(809,1),(988,1),(1156,1),(1604,1),(1945,1),(1985,1),(409,1),(720,1),(1417,1),(1446,1),(1684,1),(926,1),(1332,1),(2506,1),(599,1),(816,1),(856,1),(1662,1),(2131,1),(2351,1),(2472,1),(2531,1),(966,1),(1071,1),(1138,1),(12,1),(1347,1),(2120,1),(2399,1),(2663,1),(1556,1),(1578,1),(1736,1),(676,1),(940,1),(1178,1),(1871,1),(2014,1),(1170,1),(1233,1),(1967,1),(2483,1),(306,1),(830,1),(2391,1),(647,1),(1813,1),(944,1),(1163,1),(1189,1),(2047,1),(2384,1),(30,1),(838,1),(1028,1),(115,1),(1758,1),(2546,1),(1750,1),(2337,1),(2414,1),(438,1),(937,1),(1839,1),(2182,1),(2209,1),(2227,1),(2380,1),(434,1),(67,1),(1505,1),(331,1),(1790,1),(214,1),(2575,1),(290,1),(1585,1),(2645,1),(551,1),(2186,1),(49,1),(522,1),(1545,1),(1754,1),(1864,1),(1255,1),(449,1)	
string-matching (1392,1),(1408,1),(1455,1),(1668,1),(2430,1)	
strongly-connected-component (1489,1)	
suffix-array (1923,1),(2223,1)	
than (1343,1)	
the (1385,1),(2188,1),(2203,1),(1282,2),(1334,2),(1352,1),(1466,1),(2108,1),(2111,1),(2588,1),(843,1),(1491,1),(2386,1),(2562,1),(1389,1),(1848,1),(1859,1),(2012,1),(2049,1),(2100,1),(2155,1),(876,1),(2122,1),(2191,1),(2258,1),(564,1),(586,1),(1822,1),(2269,1),(2434,1),(2537,1),(2573,1),(2672,1),(997,1),(1327,1),(2038,1),(2485,1),(865,1),(1154,1),(1888,1),(1943,1),(1969,1),(2584,1)	
through (524,1)	
to (1932,1),(2009,1),(2177,1),(2449,1),(2481,1),(1547,1),(1576,1),(1338,1),(1639,1),(1712,1),(2287,1),(241,1),(2515,1),(1103,1),(1309,1),(2111,1),(1525,1),(1558,1),(821,1),(2100,1),(2584,1),(2290,1),(1411,1),(1653,1),(1848,1),(964,1),(1217,2),(1404,2),(1954,1),(2162,1),(2508,1),(2577,1),(1664,1),(1723,1),(1866,1),(1899,1),(2335,1),(807,1),(1000,1),(1536,1),(2023,1),(2188,1),(2320,1),(1080,1),(2096,1),(2045,1),(2470,1),(1888,1),(2027,1),(960,1),(1671,1),(1851,1),(2591,1),(623,1),(1785,2),(2379,1),(1976,1),(2434,1),(1466,2),(1569,2),(2232,1),(2265,1),(2580,1),(2654,2),(1312,1),(1521,1)	
topological-sort (310,1),(802,1),(1632,1),(1786,1),(1728,1),(2127,1),(2192,1),(329,1),(1203,1),(1591,1)	
tree (998,1),(2440,1),(965,1),(987,1),(404,1),(958,1),(103,1),(129,1),(1315,1),(235,1),(297,1),(606,1),(1373,1),(1443,1),(2246,1),(341,1),(590,1),(114,1),(1766,1),(1993,1),(572,1),(653,1),(701,1),(1609,1),(1719,1),(2385,1),(558,1),(617,1),(2415,1),(257,1),(2646,1),(671,1),(110,1),(1377,1),(1483,1),(437,1),(543,1),(107,1),(2477,1),(2583,1)	
trie (1032,1),(1803,1),(440,1),(745,1),(792,1)	
two-pointers (1048,1),(2562,1),(825,1),(986,1),(1855,1),(344,1),(557,1),(61,1),(443,1),(876,1),(1040,1),(142,1),(18,1),(2540,1),(524,1),(719,1),(777,1),(2441,1),(821,1),(832,1),(1147,1),(1385,1),(160,1),(1679,1),(2108,1),(795,1),(1712,1),(2511,1),(917,1),(1877,1),(234,1),(696,1),(942,1)	
union-find (1569,1),(803,1),(928,1),(685,1),(1697,1),(2382,1),(399,1),(1202,1),(2092,1),(924,1),(2492,1),(2573,1),(2658,1),(128,1),(1631,1),(1998,1)	
with (1186,1),(1876,1),(693,1),(862,1),(947,1),(1252,1),(1292,1),(1315,1),(1726,1),(309,1)	
